"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7903";"WOLLINGER IQ кофе растворимый сублимированный с добавлением молотого 150 г";"110183"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7904";"ЖОКЕЙ кофе растворимый Триумф 150 г";"110317"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7907";"JARDIN кофе растворимый Guatemala Atitlan 150 г";"110308"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7908";"NESCAFE Кофе растворимый гранулированный Classic 250 г";"110287"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7909";"ЧЕРНАЯ КАРТА Кофе растворимый Exclusive Brasilia 150 г";"110213"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7920";"NESCAFE Кофе растворимый Sensa Эспрессо 100 г";"110292"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7921";"NESСAFE Кофе растворимый гранулированный Classic 250 г";"110282"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7932";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 190 г + ЛОЖКА в подарок";"110200"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7933";"TCHIBO Кофе растворимый Exclusive 150 г";"110241"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7938";"AMBASSADOR Кофе растворимый Platinum 190 г";"110230"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7940";"ЧЕРНАЯ КАРТА Кофе растворимый Exclusive Brasilia 190 г";"110215"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7941";"BUSHIDO кофе растворимый Red Katana 50 г";"110298"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7942";"DAVIDOFF Кофе растворимый Rich 100 г";"110248"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7943";"DAVIDOFF Кофе растворимый Fine 100 г";"110250"
