"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"GREENFIELD чай черный в пакетиках Earl Grey 25 шт;GREENFIELD чай черный в пакетиках Golden Ceylon 100 шт;GREENFIELD чай черный в пакетиках Kenyan Sunrise 25 шт";"ITALICA кофе растворимый дой-пак 180 г;ITALICA кофе растворимый дой-пак 75 г;JACOBS кофе молотый Monarch Эспрессо 230 г";"120087";"GREENFIELD чай черный в пакетиках Classic Breakfast 25 шт"
"GREENFIELD чай черный в пакетиках Earl Grey Fantasy 100 шт;GREENFIELD чай черный в пакетиках Golden Ceylon 25 шт;GREENFIELD чай черный в пакетиках Lemon Spark 25 шт";"ITALICA кофе растворимый дой-пак 75 г;ITALICA кофе в зернах дой-пак 250 г;JACOBS кофе молотый натуральный Monarch для турки 150 г";"120088";"GREENFIELD чай черный в пакетиках Earl Grey 25 шт"
"GREENFIELD чай черный в пакетиках Golden Ceylon 100 шт;GREENFIELD чай черный в пакетиках Kenyan Sunrise 100 шт;GREENFIELD чай черный в пакетиках Magic Yunnan 25 шт";"ITALICA кофе в зернах дой-пак 250 г;JACOBS кофе молотый Monarch Эспрессо 230 г;JACOBS кофе молотый натуральный Monarch классический 230 г";"120089";"GREENFIELD чай черный в пакетиках Earl Grey Fantasy 100 шт"
"GREENFIELD чай черный в пакетиках Golden Ceylon 25 шт;GREENFIELD чай черный в пакетиках Kenyan Sunrise 25 шт;GREENFIELD чай черный в пакетиках Spring Melody 25 шт";"JACOBS кофе молотый Monarch Эспрессо 230 г;JACOBS кофе молотый натуральный Monarch для турки 150 г;JACOBS кофе растворимый Gold 140 г";"120090";"GREENFIELD чай черный в пакетиках Golden Ceylon 100 шт"
"GREENFIELD чай черный в пакетиках Kenyan Sunrise 100 шт;GREENFIELD чай черный в пакетиках Lemon Spark 25 шт;GREENFIELD чай черный в пакетиках Strawberry Gourmet  25 шт";"JACOBS кофе молотый натуральный Monarch для турки 150 г;JACOBS кофе молотый натуральный Monarch классический 230 г;JACOBS кофе растворимый Gold 95 г";"120091";"GREENFIELD чай черный в пакетиках Golden Ceylon 25 шт"
"GREENFIELD чай черный в пакетиках Kenyan Sunrise 25 шт;GREENFIELD чай черный в пакетиках Magic Yunnan 25 шт;GREENFIELD чай черный Vanilla Cranberry в пакетиках 25 шт";"JACOBS кофе молотый натуральный Monarch классический 230 г;JACOBS кофе растворимый Gold 140 г;JACOBS кофе растворимый Intense 150 г";"120092";"GREENFIELD чай черный в пакетиках Kenyan Sunrise 100 шт"
"GREENFIELD чай черный в пакетиках Lemon Spark 25 шт;GREENFIELD чай черный в пакетиках Spring Melody 25 шт;GREENFIELD чай Jasmine Dream зеленый ароматизированный листовой 100 гр";"JACOBS кофе растворимый Gold 140 г;JACOBS кофе растворимый Gold 95 г;JACOBS кофе растворимый Millicano 250 г";"120093";"GREENFIELD чай черный в пакетиках Kenyan Sunrise 25 шт"
"GREENFIELD чай черный в пакетиках Magic Yunnan 25 шт;GREENFIELD чай черный в пакетиках Strawberry Gourmet  25 шт;GREENFIELD чай травяной в пакетиках Camomile Meadow 25 шт";"JACOBS кофе растворимый Gold 95 г;JACOBS кофе растворимый Intense 150 г;JACOBS кофе растворимый Millicano 26x1,8 г";"120094";"GREENFIELD чай черный в пакетиках Lemon Spark 25 шт"
"GREENFIELD чай черный в пакетиках Spring Melody 25 шт;GREENFIELD чай черный Vanilla Cranberry в пакетиках 25 шт;GREENFIELD чай травяной в пакетиках Rich Camomile 25 шт";"JACOBS кофе растворимый Intense 150 г;JACOBS кофе растворимый Millicano 250 г;JACOBS кофе растворимый Millicano 75 г";"120095";"GREENFIELD чай черный в пакетиках Magic Yunnan 25 шт"
"GREENFIELD чай черный в пакетиках Strawberry Gourmet  25 шт;GREENFIELD чай Jasmine Dream зеленый ароматизированный листовой 100 гр;GREENFIELD чай травяной в пакетиках Summer Bouquet 25 шт";"JACOBS кофе растворимый Millicano 250 г;JACOBS кофе растворимый Millicano 26x1,8 г;JACOBS кофе растворимый Millicano Crema Espresso 75 г";"120096";"GREENFIELD чай черный в пакетиках Spring Melody 25 шт"
"GREENFIELD чай черный Vanilla Cranberry в пакетиках 25 шт;GREENFIELD чай травяной в пакетиках Camomile Meadow 25 шт;GREENFIELD чай зеленый листовой Flying Dragon 100 г";"JACOBS кофе растворимый Millicano 26x1,8 г;JACOBS кофе растворимый Millicano 75 г;JACOBS кофе растворимый Millicano Crema Espresso 95 г";"120097";"GREENFIELD чай черный в пакетиках Strawberry Gourmet  25 шт"
"GREENFIELD чай Jasmine Dream зеленый ароматизированный листовой 100 гр;GREENFIELD чай травяной в пакетиках Rich Camomile 25 шт;GREENFIELD чай зеленый в пакетиках Flying Dragon 100 шт";"JACOBS кофе растворимый Millicano 75 г;JACOBS кофе растворимый Millicano Crema Espresso 75 г;JACOBS кофе растворимый Monarch 150 г";"120098";"GREENFIELD чай черный Vanilla Cranberry в пакетиках 25 шт"
"GREENFIELD чай травяной в пакетиках Camomile Meadow 25 шт;GREENFIELD чай травяной в пакетиках Summer Bouquet 25 шт;GREENFIELD чай зеленый в пакетиках Flying Dragon 25 шт";"JACOBS кофе растворимый Millicano Crema Espresso 75 г;JACOBS кофе растворимый Millicano Crema Espresso 95 г;JACOBS кофе растворимый Monarch 240 г";"120099";"GREENFIELD чай Jasmine Dream зеленый ароматизированный листовой 100 гр"
"GREENFIELD чай травяной в пакетиках Rich Camomile 25 шт;GREENFIELD чай зеленый листовой Flying Dragon 100 г;GREENFIELD чай зеленый в пакетиках Green Melissa 100 шт";"JACOBS кофе растворимый Millicano Crema Espresso 95 г;JACOBS кофе растворимый Monarch 150 г;JACOBS кофе растворимый Monarch 3 в 1 24x15 г";"120100";"GREENFIELD чай травяной в пакетиках Camomile Meadow 25 шт"
