"Артикул";"Цена_Закупочная"
"430344";"30"
"430345";"30"
"430346";"30"
"430347";"52"
"430348";"53"
"430349";"97"
"430350";"171"
"430351";"97"
"430352";"171"
"430353";"171"
"430354";"171"
"430355";"171"
"430356";"171"
"430357";"172"
"430358"
"430359";"159"
"430360";"97"
"430361";"159"
"430362";"97"
"430363";"159"
"430364";"159"
"430365";"97"
"430366";"46"
"430367";"54"
"430368";"54"
"430369";"46"
"430370";"54"
"430371";"54"
"430372";"54"
"430373";"149"
"430374";"198"
"430375";"114"
"430376";"198"
"430377";"198"
"430378"
"430379";"198"
"430380";"198"
"430381";"198"
"430382";"114"
"430383";"198"
"430384";"118"
"430385";"229"
"430386";"1011"
"430387";"410"
"430388";"369"
"430389";"513"
"430390";"112"
"430391";"142"
"430392";"142"
"430393";"142"
"430394";"74"
"430395";"74"
"430396";"54"
"430397";"54"
"430398";"68"
"430399";"68"
"430400";"68"
"430401";"68"
"430402";"68"
"430403";"86"
"430404";"89"
"430405";"89"
"430406";"89"
"430407";"97"
"430408";"91"
"430409";"160"
"430410";"156"
"430411";"160"
"430412";"66"
"430413";"108"
"430414";"1123"
"430415";"361"
"430416";"194"
"430417";"345"
"430418";"363"
"430419";"172"
"430420";"46"
"430421";"188"
"430422";"202"
"430423";"172"
"430424";"1117"
"430425";"702"
"430426";"2627"
"430427";"287"
"430428";"167"
"430429";"997"
"430430";"291"
"430431";"200"
"430432";"84"
"430433";"125"
"430434";"62"
"430435";"92"
"430436";"154"
"430437";"174"
"430438";"178"
"430439";"201"
"430440";"125"
"430441"
"430442"
"430443"
"430444";"274"
"430445";"246"
"430446";"246"
"430447";"337"
"430448";"195"
"430449";"153"
"430450";"153"
"430451";"153"
"430452";"153"
"430453";"153"
"430454";"153"
"430455";"260"
"430456";"153"
"430457";"286"
"430458";"286"
"430459";"165"
"430460";"46"
"430461";"58"
"430462";"202"
"430463";"281"
"430464";"185"
"430465";"172"
"430466";"99"
"430467";"99"
"430468";"159"
"430469";"124"
"430470";"159"
"430471";"124"
"430472";"159"
"430473";"159"
"430474";"159"
"430475";"159"
"430476";"159"
"430477";"124"
"430478";"240"
"430479";"240"
"430480";"198"
"430481";"204"
"430482";"204"
"430483";"118"
"430484";"247"
"430485";"204"
"430486";"154"
"430487";"100"
"430488";"100"
"430489";"129"
"430490";"129"
"430491";"129"
"430492";"218"
"430493";"129"
"430494";"129"
"430495";"218"
"430496";"51"
"430497";"51"
"430498";"51"
"430499";"58"
"430500"
"430501";"223"
"430502";"112"
"430503";"167"
"430504";"223"
"430505";"171"
"430506";"149"
"430507";"191"
"430508";"82"
"430509";"97"
"430510";"158"
"430511";"580"
"430512";"111"
"430513";"148"
"430514";"162"
"790010";"100"
"790011";"101"
"790012";"114"
"790013";"94"
"790014";"94"
"790015";"181"
"790016";"166"
"790017";"163"
"790018";"230"
"790019";"113"
"790020";"196"
"790021";"143"
"790022";"122"
"790023";"187"
"790024";"254"
"790025";"181"
"790026";"181"
"790027";"145"
"790028";"145"
"790029";"63"
"790030";"63"
