"Артикул";"Короткое название";"Показывать товар";"Цена_Трансазия";"Цена_Розничная"
"120231";"RICHARD чай листовой All The Best Wishes черный 80 г";"1";"260";"325"
"120232";"RICHARD чай Lord Grey черный ароматизированный в пакетиках 25 шт";"1";"79";"99"
"120233";"RICHARD чай пакетированный King's Tea №1 черный байховый 100 шт";"1";"235";"294"
"120234";"RICHARD чай Royal Ceylon черный в пакетиках 100 шт";"1";"235";"294"
"120235";"RICHARD чай Royal Ceylon черный в пакетиках 25 шт";"1";"79";"99"
"120238";"RICHARD чай Royal English Вreakfast черный в пакетиках 25 шт";"1";"79";"99"
"120240";"RICHARD чай Royal Kenya черный в пакетиках 100 шт";"1";"235";"294"
"120241";"TESS чай черный листовой Ceylon 100 г";"1";"68";"85"
"120244";"TESS чай черный в пакетиках Ceylon 25 шт";"1";"59";"74"
"120245";"TESS чай черный в пакетиках Pleasure 25 шт";"1";"59";"74"
"120246";"TESS чай Ginger Mojito зеленый  в пирамидках 20 шт";"1";"59";"74"
"120248";"TESS чай Summer Time травяной в пирамидках 20 шт";"1";"59";"74"
"120249";"TESS чай зеленый в пакетиках Lime 25 шт";"1";"59";"74"
"124034";"MACTEA напиток чайный Клубника 20 шт";"1";"119";"149"
"130010";"ЧУККА какао-напиток Горячий Шоколад ганулированный 130 г";"1";"67";"84"
"130012";"MACCHOCOLATE горячий шоколад лесной орех 10 шт";"1";"88";"110"
"130014";"NESTLE какао Nesquik пластиковая банка 250 г";"1";"93";"116"
"130016";"КУБАНОЧКА Компот из вишни 1 л";"1";"81";"101"
"130021";"ЛЮБИМЫЙ напиток сокосодержащий Апельсиновое Манго 1,93 л";"1";"98";"122"
"130022";"ЛЮБИМЫЙ напиток сокосодержащий Гранатовый Сезон 1,93 л";"1";"98";"122"
"130024";"ЛЮБИМЫЙ напиток сокосодержащий Тропический Микс 1,93 л";"1";"98";"122"
"130027";"ЛЮБИМЫЙ напиток сокосодержащий Вишневая Черешня 1,93 л";"1";"98";"122"
"130028";"ЛЮБИМЫЙ нектар Солнечный Нектарин 0,95";"1";"49";"61"
"130034";"ЭКОЛОГИКА цикорий растворимый классический 85 г";"1";"188";"235"
"130035";"ELZA цикорий растворимый 100 г";"1";"157";"196"
"130036";"МОСКОФЕ цикорий растворимый 100 г";"1";"53";"66"
"140013";"DIROL жевательная резинка Сладкая Мята 24x13 г";"1";"22";"28"
"140016";"HALLS леденцы Colors 25 г";"1";"24";"30"
"140017";"HALLS леденцы Мед с Лимоном 25 г";"1";"24";"30"
"140018";"HALLS леденцы Ментол Экстра 25 г";"1";"24";"30"
"140019";"HALLS леденцы Оригинальный 25 гр";"1";"24";"30"
"140020";"MENTOS жевательная резинка Fresh Mint 12х15,5 г";"1";"23";"29"
"140021";"MENTOS жевательная резинка Pure Fresh Свежая Мята 50 шт";"1";"175";"219"
"140022";"SULA леденцы Гранат без сахара с витамином С 60 гр";"1";"66";"82"
"140023";"TIC TAC драже Апельсиновый 6x16 г";"1";"33";"41"
"140024";"TIC TAC драже Клубника 6x16 г";"1";"31";"39"
"140025";"ALPEN GOLD набор конфет Composition 5 вкусов 78 г";"1";"101";"126"
"140027";"BUCHERON набор конфет Трюфель с Цельным Фундуком 175 г";"1";"208";"260"
"140030";"FERRERO набор конфет Rocher 200 г";"1";"321";"401"
"140032";"ФИНИКСЫ конфеты из фиников с апельсином в глазури 180 г";"1";"105";"131"
"140033";"ФИНИКСЫ конфеты из фиников с черносливом в глазури 180 г";"1";"105";"131"
"140034";"ФИНИКСЫ конфеты из фиников с киви в глазури 180 г";"1";"105";"131"
"140035";"ФИНИКСЫ конфеты из фиников с персиком в глазури 180 г";"1";"105";"131"
"140036";"FLORENTINO набор конфет Трюфель 175 г";"1";"228";"285"
"140037";"FLORENTINO набор конфет Трюфель с коньяком 175 г";"1";"228";"285"
"140038";"FLORENTINO набор конфет Трюфель с миндалем 175 г";"1";"228";"285"
"140039";"ФРУНДЕЛЬ конфеты Фруктовый Трюфель абрикос чернослив кунжут 150 г";"1";"115";"144"
"140040";"ФРУНДЕЛЬ конфеты Фруктовый Трюфель банан персик семена чиа 150 г";"1";"115";"144"
"140041";"ФРУНДЕЛЬ конфеты Фруктовый Трюфель инжир чернослив лен 150 г";"1";"115";"144"
"140042";"Lindt конфеты шоколадные Lindor ассорти корнет 200 г";"1";"522";"652"
"140043";"LINDT набор конфет Mini Pralines мини-конфеты из молочного шоколада ассорти 100 г";"1";"549";"686"
"140044";"MALIBU конфеты Кокосовые в Молочной Шоколадной Глазури 140 г";"1";"69";"86"
"140045";"MALIBU конфеты Кокосовые в Шоколадной Глазури 140 г";"1";"69";"86"
"140048";"MERCI конфеты шоколадные 250 г";"1";"219";"274"
"140049";"MERCI конфеты шоколадные 400 г";"1";"420";"525"
"140050";"MERCI конфеты шоколадные 675 г";"1";"1026";"1282"
"140052";"ПЕНЗЕНСКАЯ КФ конфеты Маков цвет глазированные 1кг";"1";"114";"142"
"140056";"PUPO конфеты Фруктовое Ассорти в Шоколадной Глазури 300 г";"1";"172";"215"
"140057";"PUPO конфеты Персик в шоколадной глазури 200 г";"1";"110";"138"
"140068";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Абрикос в шоколаде с ядром грецкого ореха 240 гр";"1";"90";"112"
"140069";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Чернослив в шоколаде с ядром грецкого ореха 240 гр";"1";"86";"108"
"140070";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Чернослив в шоколаде с ядром грецкого ореха 350 гр";"1";"117";"146"
"140071";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Финики в шоколаде с миндалем 200 гр";"1";"41";"51"
"140072";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Фрукты в шоколаде 200 гр";"1";"49";"61"
"140073";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Грильяжная сказка 285 гр";"1";"85";"106"
"140074";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Ореховое ассорти 200 гр";"1";"36";"45"
"140075";"САМАРСКИЙ КОНДИТЕР КФ Конфеты Птичье волшебство 250 гр";"1";"81";"101"
