"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр;ECOFOOD Хариса армянская (пшеничная каша с курицей) 500 г";"DOLMIO соус Традиционный 210 г;DOLMIO соус С Луком и Чесноком 350 г;DOLMIO соус С Луком и Чесноком 210 г";"160052";"LORADO оливки зеленые без косточек 314 мл"
"РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр;ECOFOOD Суп Харчо по-армянски из говядины 520 г";"HEINZ кетчуп для гриля и шашлыка 350 г;DOLMIO соус Традиционный 210 г;DOLMIO соус С Луком и Чесноком 350 г";"160053";"LORADO оливки зеленые фаршированные креветками 314 мл"
"РЫБНОЕ МЕНЮ Скумбрия атлантическая в томатном соусе 230 гр;ECOFOOD Хаш армянский 525 г";"HEINZ кетчуп Итальянский 350 г;HEINZ кетчуп для гриля и шашлыка 350 г;DOLMIO соус Традиционный 210 г";"160054";"LORADO оливки зеленые фаршированные лимоном 314 мл"
"ECOFOOD Осетр в собственном соку 240 г;ГРОДФУД паштет Классический 100 г";"HEINZ кетчуп Острый 342 г;HEINZ кетчуп Итальянский 350 г;HEINZ кетчуп для гриля и шашлыка 350 г";"160055";"LORADO оливки зеленые фаршированные лососем 314 мл"
"ECOFOOD Осетр в оливковом масле с рисом 240 г;ГРОДФУД конина тушеная 338 г";"HEINZ кетчуп Острый 350 г;HEINZ кетчуп Острый 342 г;HEINZ кетчуп Итальянский 350 г";"160056";"LORADO шампиньоны Отборные целые 425 мл"
"ECOFOOD Сиг севанский в томатном соусе 240 г;ГРОДФУД паштет с жареным луком 100 г";"HEINZ кетчуп с чесноком пряностями 350 г;HEINZ кетчуп Острый 350 г;HEINZ кетчуп Острый 342 г";"160057";"LORADO шампиньоны резаные 3,1 л"
"ECOFOOD Уха из осетра по-царски 530 г;ГРОДФУД паштет куриный печеночный 50 г";"HEINZ кетчуп с Горчицей 350 г;HEINZ кетчуп с чесноком пряностями 350 г;HEINZ кетчуп Острый 350 г";"160060";"LORADO томаты маринованные 720 мл"
"ECOFOOD Уха из радужной форели по-царски 530 г;ГРОДФУД паштет индюшиный печеночный 50 г";"HEINZ кетчуп Супер Острый 350 г;HEINZ кетчуп с Горчицей 350 г;HEINZ кетчуп с чесноком пряностями 350 г";"160061";"ПОМИДОРКА томаты маринованные Черри 720 мл"
"ECOFOOD Форель радужная в собственном соку 240 г;ГРОДФУД паштет куриный с грибами 100 г";"HEINZ кетчуп Томатный 1 кг;HEINZ кетчуп Супер Острый 350 г;HEINZ кетчуп с Горчицей 350 г";"160062";"ШЕСТЬ СОТОК Ассорти томаты черри и огурцы 720 мл"
"ЮЖМОРРЫБФЛОТ печень трески По-мурмански 240 г;BONDUELLE кукуруза консервированная 212 мл";"HEINZ кетчуп Томатный 0,57 кг;HEINZ кетчуп Томатный 1 кг;HEINZ кетчуп Супер Острый 350 г";"160063";"ШЕСТЬ СОТОК кукуруза консервированная 425 мл"
