"Категории";"Основная категория";"Артикул";"Короткое название";"Характеристики";"Описание товара";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Показывать товар"
"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";170264;"FERRAGOSTO горошек консервированный 425 г";"(Характеристики товара (Продукты))Тип товара:Горошек консервированный;
(Характеристики товара (Продукты))Бренд:FERRAGOSTO;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680038818691;
(Характеристики товара (Продукты))Вес:425 г;
(Характеристики товара (Продукты))Код товара:CB-00034326";"Горошек консервированный FERRAGOSTO изготавливается в соответствии с требованиями ЕАС и ГОСТ. Технологии, применяющиеся при производстве, позволяют сохранить природный вкус и полезные свойства консервируемого продукта. Выпускается без использования искусственных консервантов, красителей и ароматизаторов, в процессе приготовления консервов используются только натуральные добавки: соль, сахар и натуральные пряности.</p>
<br>
Особенности Продукта:
<br>
<li>
Пряный вкус
<li>
Без красителей и консервантов
<li>
Для употребления в пищу
<br>
Состав:
Горошек зелёный свежий, соль, сахар, вода питьевая.";"FERRAGOSTO";41;51;"/storage/photo/original/g/ferragosto-goroshek-konservirovannij-425-g.png";1
"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";170265;"FERRAGOSTO Кукуруза ж/б 425мл";"(Характеристики товара (Продукты))Тип товара:Кукуруза консервированная;
(Характеристики товара (Продукты))Бренд:FERRAGOSTO;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680038818707;
(Характеристики товара (Продукты))Код товара:CB-00041416";"Консервированная кукуруза уже давно завоевала популярность в качестве ингредиента для салатов.</p><br>Состав: Кукуруза, вода, сахар, соль";"FERRAGOSTO";47;59;"/storage/photo/original/g/ferragosto-kukuruza-zhb-425ml.jpg";1
"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";170266;"LORADO кукуруза консервированная 425 г";"(Характеристики товара (Продукты))Тип товара:Кукуруза консервированная;
(Характеристики товара (Продукты))Бренд:LORADO;
(Характеристики товара (Продукты))Страна происхождения:Таиланд;
(Характеристики товара (Продукты))EAN:4008638241365;
(Характеристики товара (Продукты))Вес:425 г;
(Характеристики товара (Продукты))Код товара:00000003253";"Сладкая кукуруза ЛОРАДО производится из свежих, созревших початков кукурузы последнего урожая, за счет этого при консервировании сохраняет все полезные свойства. Незаменимый источник клетчатки. Ярко золотистые, сочные и хрустящие зерна незаменимы не только для приготовления салатов, но также отлично подходят как самостоятельные блюда в качестве закусок или гарнира. Идеальна для употребления как в холодном, так и в горячем виде. Отлично сочетается с блюдами из риса и пасты.
</p>
<br>
Особенности продукта:
<br>
<li>
Сладкая консервированная кукуруза в зернах </li>
<li>
Высший сорт </li>
<li>
Не содержит искусственных ароматизаторов, красителей, консервантов </li>
<li>
Без ГМО </li>
<br>
Состав:
Кукуруза, вода, сахар, соль. ";"LORADO";50;62;"/storage/photo/original/g/lorado-kukuruza-konservirovannaya-425-g.jpg";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170267;"ЮЖМОРРЫБФЛОТ печень трески По-мурмански 240 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ЮЖМОРРЫБФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030305;
(Характеристики товара (Продукты))Вес:240 г;
(Характеристики товара (Продукты))Код товара:CB-00028829";"Печень трески ЮЖМОРРЫБФЛОТ натуральный и полезный продукт. Продукт не содержит ГМО, красителей и консервантов. Изготавливается из диких рыб. В составе только измельченная печень трески и соль. </p>
<br>
Особенности Продукта:
<br>
<li>
Изысканный вкус
<li>
Без ГМО и консервантов
<li>
Содержит витамины А и РР
<br>
Состав:
Печень трески измельченная, соль.";"ЮЖМОРРЫБФЛОТ";89;111;"/storage/photo/original/g/yuzhmorribflot-pechen-treski-po-murmanski-240-g.png";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170268;"ДОБРОФЛОТ сайра копченая в масле 210 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ДОБРОФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030343;
(Характеристики товара (Продукты))Вес:210 г;
(Характеристики товара (Продукты))Код товара:CB-00034080";"Консервирование – это варка рыбы в герметичных банках. Cайру не умеют выращивать в неволе. Дикая рыба ест естественный корм и живет в океане. В сайре содержатся витамины В и D, жирные кислоты класса Омега-3 и Омега-6, фосфор. В сайре нет углеводов. Самма-мацури — национальный праздник сайры в Японии. Повара жарят сайру на улице и раздают её. Музыканты и актёры выступают рядом. Чтобы определить качество корсевов нужно проверить место производства — сайра должна производиться в месте лова, на Дальнем Востоке.</p>
<br>
Состав:
рыба, соль, специи. Масса: 245 г. На 100 г продукта: 18 г белков, 21 г жиров.";"ДОБРОФЛОТ";88;110;"/storage/photo/original/g/dobroflot-sajra-kopchenaya-v-masle-210-g.jpg";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170269;"ДОБРОФЛОТ сайра бланшированная в масле 250 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ДОБРОФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030817;
(Характеристики товара (Продукты))Вес:210 г;
(Характеристики товара (Продукты))Код товара:CB-00034081";"Консервирование – это варка рыбы в герметичных банках. Cайру не умеют выращивать в неволе. Дикая рыба ест естественный корм и живет в океане. В сайре содержатся витамины В и D, жирные кислоты класса Омега-3 и Омега-6, фосфор. В сайре нет углеводов. Самма-мацури — национальный праздник сайры в Японии. Повара жарят сайру на улице и раздают её. Музыканты и актёры выступают рядом. Чтобы определить качество корсевов нужно проверить место производства — сайра должна производиться в месте лова, на Дальнем Востоке.</p>
<br>
Состав:
рыба, соль, специи. Масса: 245 г. На 100 г продукта: 18 г белков, 21 г жиров.";"ДОБРОФЛОТ";89;111;"/storage/photo/original/g/dobroflot-sajra-blanshirovannaya-v-masle-250-g.jpg";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170270;"ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ДОБРОФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030329;
(Характеристики товара (Продукты))Вес:245 г;
(Характеристики товара (Продукты))Код товара:CB-00034079";"Очень важно, что сайру до сих пор не научились выращивать в неволе, т.е. это дикая рыба, естественным способом добывающая себе корм и растущая на вольных просторах океана, благодаря чему мясо её является настоящим кладезем витаминов, микроэлементов и жирных кислот класса Омега-3 и Омега-6. Углеводы в рыбе отсутствуют полностью, что, безусловно, на руку приверженцам здорового питания и людям, заботящимся о своей фигуре.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";"ДОБРОФЛОТ";86;108;"/storage/photo/original/g/dobroflot-sajra-tihookeanskaya-s-dobavleniem-masla-245-g.jpg";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170271;"ДОБРОФЛОТ иваси сардина в масле 210 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ДОБРОФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030978;
(Характеристики товара (Продукты))Вес:210 г;
(Характеристики товара (Продукты))Код товара:CB-00043525";"С 20-х годов прошлого века берет начало современная Дальневосточная рыбная промышленность. И не в последнюю очередь ее бурному росту способствовала именно сардина-иваси. Некоторые виды сардин, в том числе дальневосточная сардина-иваси, известны очень значительными колебаниями размеров популяций. За 25-30 лет сардина может поменять свою численность в 100 и более раз. Такие масштабы невозможны для большинства рыб. В консервах нет консервантов. Консервирование – это варка рыбы в герметичных банках. </p>
<br>
Состав:
рыба, соль, перец черный или перец душистый, лавровый лист. Масса: 245 г. На 100 г продукта: 17 г белков, 23 г жиров.";"ДОБРОФЛОТ";78;98;"/storage/photo/original/g/dobroflot-ivasi-sardina-v-masle-210-g.png";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170272;"МАЯК икра окуня 125 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:МАЯК;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4612729497298;
(Характеристики товара (Продукты))Вес:125 г;
(Характеристики товара (Продукты))Код товара:CB-00006943";"«Маяк» - это торговая марка Компании «Восток», профилирующаяся на рыбной консервации в среднем ценовом сегменте и премиум-сегменте. Высокое качество продукции - приоритет Компании. Максимальный ассортимент. ТМ «Маяк». Высококачественные рыбные консервы и деликатесы Латвии и России. Классические рецептуры! </p>";"МАЯК";50;62;"/storage/photo/original/g/mayak-ikra-okunya-125-g.png";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170273;"МАЯК икра трески 125 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:МАЯК;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4612729497304;
(Характеристики товара (Продукты))Вес:125 г;
(Характеристики товара (Продукты))Код товара:00000001265";"«Маяк» - это торговая марка Компании «Восток», профилирующаяся на рыбной консервации в среднем ценовом сегменте и премиум-сегменте. Высокое качество продукции - приоритет Компании. Максимальный ассортимент. ТМ «Маяк». Высококачественные рыбные консервы и деликатесы Латвии и России. Классические рецептуры! </p>";"МАЯК";50;62;"/storage/photo/original/g/mayak-ikra-treski-125-g.jpg";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170274;"МАЯК икра сома 125 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:МАЯК;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4612729497311;
(Характеристики товара (Продукты))Вес:125 г;
(Характеристики товара (Продукты))Код товара:CB-00006946";"«Маяк» - это торговая марка Компании «Восток», профилирующаяся на рыбной консервации в среднем ценовом сегменте и премиум-сегменте. Высокое качество продукции - приоритет Компании. Максимальный ассортимент. ТМ «Маяк». Высококачественные рыбные консервы и деликатесы Латвии и России. Классические рецептуры! </p>";"МАЯК";49;61;"/storage/photo/original/g/mayak-ikra-soma-125-g.png";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170275;"ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:ДОБРОФЛОТ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030367;
(Характеристики товара (Продукты))Вес:245 г;
(Характеристики товара (Продукты))Код товара:CB-00034085";"Сельдь Тихоакеанская натуральная ДОБРОФЛОТ натуральный и полезный продукт. Не содержит ГМО, красителей и консервантов. Изготавливается исключительно из свежего сырья. В составе только рыба, специи и соль. Использовать ее легко можно как самостоятельное блюдо, так и как дополнение к салатам. </p>
<br>
Особенности Продукта:
<br>
<li>
Изысканный вкус
<li>
Без ГМО и консервантов
<li>
Содержит витамины А и РР
<br>
Состав:
Рыба, масло растительное, соль, специи.";"ДОБРОФЛОТ";49;61;"/storage/photo/original/g/dobroflot-seld-tihoakeanskaya-naturalnaya-s-dobavleniem-masla-245-g.png";1
"Продукты/Консервированная продукция/Рыбные консервы";"Продукты/Консервированная продукция/Рыбные консервы";170276;"НЕПТУН Сайра НДМ №6 240г";"(Характеристики товара (Продукты))Тип товара:Рыбные консервы;
(Характеристики товара (Продукты))Бренд:НЕПТУН;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4680009030794;
(Характеристики товара (Продукты))Код товара:CB-00039834";"Сайра тихоокеанская натуральная в собственном соку.</p><br>Состав: Рыба (Сайра тихоокеанская), масло подсолнечное, соль поваренная.";"НЕПТУН";49;61;"/storage/photo/original/g/neptun-sajra-ndm-6-240g.jpg";1
"Продукты/Консервированная продукция/Фрукты, ягоды консервированные";"Продукты/Консервированная продукция/Фрукты, ягоды консервированные";170277;"LORADO персики половинки в сиропе 0,43 л";"(Характеристики товара (Продукты))Тип товара:Персики консервированные;
(Характеристики товара (Продукты))Бренд:LORADO;
(Характеристики товара (Продукты))Страна происхождения:Китай;
(Характеристики товара (Продукты))EAN:4008638601008;
(Характеристики товара (Продукты))Объем:425 мл;
(Характеристики товара (Продукты))Код товара:00000003443";"Персик ценен, прежде всего, за ни с чем несравнимый аромат и исключительно приятный кисло-сладкий вкус. Благодаря тщательному отбору урожая и современным методам консервации персики ТМ «Lorado» надолго сохраняют все вкусовые, питательные свойства и витамины. ТМ «Lorado» предлагает различные вариации консервированных персиков – половинки и дольки, а так же белые персики половинки.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>В сиропе<li>63 ккал на 100 г<li>жиры 0,1 г на 100 г<li>белки 0,4 г на 100 г<li>углеводы 15 г на 100 г<br>
Состав: оливки зеленые, вода, лимонная паста 6% (вода, лимон, стабилизатор: альгинат натрия), соль, усилитель вкуса: глютамат натрия, регуляторы кислотности: лимонная кислота, молочная кислота, антиокислитель: аскорбиновая кислота.";"LORADO";72;90;"/storage/photo/original/g/lorado-persiki-polovinki-v-sirope-043-l.jpg";1
"Продукты/Кофе, чай, какао, цикорий/Какао";"Продукты/Кофе, чай, какао, цикорий/Какао";170278;"BIOMAMA какао растворимое 250 г";"(Характеристики товара (Продукты))Тип товара:Какао;
(Характеристики товара (Продукты))Бренд:BIOMAMA;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4670016472403;
(Характеристики товара (Продукты))Вес:150 г;
(Характеристики товара (Продукты))Код товара:CB-00025020";"BIOMAMA – это вкусный и полезный какао, приготовленный из отборных бобов criollo, собранных в районе Берега Слоновой Кости. Какао Biomama создан специально для детей и их мам, которые заботятся об укреплении иммунитета малыша и его полноценном, правильном развитии. В составе какао Biomama – комплекс витаминов, так необходимых для роста ребенка и профилактики вирусных заболеваний. Несложно будет уговорить малыша принять витамины в какао. Лучше всего предлагать Biomama на завтрак или на полдник после дневного сна.";"BIOMAMA";117;146;"/storage/photo/original/g/biomama-kakao-rastvorimoe-250-g.jpg";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170279;"BUSHIDO кофе растворимый Kodo Сублимированный 95 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:Швейцария;
(Характеристики товара (Продукты))EAN:5060367340176;
(Характеристики товара (Продукты))Вес:95 г;
(Характеристики товара (Продукты))Код товара:CB-00020059";"Кофе BUSHIDO Kodo изготовлен из 100% Арабики, с мягким, насыщенным богатым вкусом с ореховым привкусом и великолепным ароматом. Произведенный классическим способом - обжаренный на дровах на медленном огне, как это издревле делали кофейные мастера. Жаровня расположена в Италии, в экологически чистой холмистой аграрной части страны, которая славится своими кофейными традициями. Контроль обжарки осуществляет мастер, хранитель традиций. Это кропотливый процесс, требующий высочайшего профессионализма. Весь процесс обжарки BUSHIDO производится вручную. Секрет неповторимого вкуса кофе - это исключительная комбинация фаз обжарки. </p>
<br>
Особенности Продукта:
<br>
<li>
Натуральный продукт
<li>
Непревзойденный вкус
<li>
Средняя степень обжарки";"BUSHIDO";533;666;"/storage/photo/original/g/bushido-kofe-rastvorimij-kodo-sublimirovannij-95-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170280;"BUSHIDO кофе растворимый Light Katana Сублимированный 100 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:Швейцария;
(Характеристики товара (Продукты))EAN:7610121710325;
(Характеристики товара (Продукты))Вес:100 г;
(Характеристики товара (Продукты))Код товара:00000003051";"Кофе BUSHIDO Light Katana изготовлен из 100% Арабики, с мягким, насыщенным богатым вкусом с ореховым привкусом и великолепным ароматом. Произведенный классическим способом - обжаренный на дровах на медленном огне, как это издревле делали кофейные мастера. Жаровня расположена в Италии, в экологически чистой холмистой аграрной части страны, которая славится своими кофейными традициями. Контроль обжарки осуществляет мастер, хранитель традиций. Это кропотливый процесс, требующий высочайшего профессионализма. Весь процесс обжарки BUSHIDO производится вручную. Секрет неповторимого вкуса кофе - это исключительная комбинация фаз обжарки. </p>
<br>
Особенности Продукта:
<br>
<li>
Натуральный продукт
<li>
Непревзойденный вкус
<li>
Средняя степень обжарки";"BUSHIDO";524;655;"/storage/photo/original/g/bushido-kofe-rastvorimij-light-katana-sublimirovannij-100-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170281;"JARDIN Подарочный набор молотый кофе в растворимом 95 г + кружка";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:JARDIN;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4605246015366;
(Характеристики товара (Продукты))Код товара:CB-00047378";"Состав подарочного набора: Jardin ""Filigrano"" растворимый сублимированный с добавлением кофе жареного молотого, 95 гр ст. /б. В подарок: стеклянная кружка с двойным дном</p>";"JARDIN";395;494;"/storage/photo/original/g/jardin-podarochnij-nabor-molotij-kofe-v-rastvorimom-95-g-kruzhka.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170282;"BUSHIDO кофе растворимый Original Сублимированный 50 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:Швейцария;
(Характеристики товара (Продукты))EAN:7610121710356;
(Характеристики товара (Продукты))Вес:50 г;
(Характеристики товара (Продукты))Код товара:00000003055";"Кофе BUSHIDO Original изготовлен из 100% Арабики, с мягким, насыщенным богатым вкусом с ореховым привкусом и великолепным ароматом. Произведенный классическим способом - обжаренный на дровах на медленном огне, как это издревле делали кофейные мастера. Жаровня расположена в Италии, в экологически чистой холмистой аграрной части страны, которая славится своими кофейными традициями. Контроль обжарки осуществляет мастер, хранитель традиций. Это кропотливый процесс, требующий высочайшего профессионализма. Весь процесс обжарки BUSHIDO производится вручную. Секрет неповторимого вкуса кофе - это исключительная комбинация фаз обжарки. </p>
<br>
Особенности Продукта:
<br>
<li>
Натуральный продукт
<li>
Непревзойденный вкус
<li>
Средняя степень обжарки";"BUSHIDO";292;365;"/storage/photo/original/g/bushido-kofe-rastvorimij-original-sublimirovannij-50-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170283;"ЖОКЕЙ кофе зерновой Классический 500 г";"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Бренд:ЖОКЕЙ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4605246002427;
(Характеристики товара (Продукты))Вес:500 г;
(Характеристики товара (Продукты))Код товара:CB-00032617";"Кофе в зернах ЖОКЕЙ Классический — это отличный купаж лучших сортов арабики из Центральной и Южной Америки, Африки и Индии, бережно обжаренный специалистами для достижения тонких нот кофейного букета. Мягкий, изысканный вкус, утонченный и богатый аромат сочетаются с благородным характером и дарят вам наслаждение от каждой чашки свежеприготовленного напитка. ЖОКЕЙ Классический в зернах займет достойное место на полке вашей кухни и в офисном кофейном уголке, делая каждое утро ярче, день интереснее, а вечер спокойнее. Прекрасные тонизирующие свойства помогут вам поддерживать бодрость и силы на протяжении всего дня, быстро выполнять важные задачи и добиваться поставленных целей. Чтобы получить вкусный напиток, нужно взять 2 полные чайные ложки молотого кофе в расчете на одну чашку и приготовить его в кофейнике, турке или кофеварке. Тем, кто предпочитает пить кофе с молоком, рекомендуется добавлять молоко горячим. Упакован кофе ЖОКЕЙ Классический в плотный вакуумный пакет, который отлично сохраняет вкусоароматические качества кофейных зерен на всем сроке использования, защищая их от воздействия влаги и кислорода. </p>
<br>
Особенности Продукта:
<br>
<li>
Изысканный вкус
<li>
Непревзойденный аромат
<li>
Компактная упаковка";"ЖОКЕЙ";269;336;"/storage/photo/original/g/zhokej-kofe-zernovoj-klassicheskij-500-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170284;"BUSHIDO кофе растворимый Blak Katana Сублимированный 50 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:ШВЕЙЦАРИЯ;
(Характеристики товара (Продукты))EAN:7610121710349;
(Характеристики товара (Продукты))Вес:50 г;
(Характеристики товара (Продукты))Код товара:00000003054";"Кофе BUSHIDO Blak Katana изготовлен из 100% Арабики, с мягким, насыщенным богатым вкусом с ореховым привкусом и великолепным ароматом. Произведенный классическим способом - обжаренный на дровах на медленном огне, как это издревле делали кофейные мастера. Жаровня расположена в Италии, в экологически чистой холмистой аграрной части страны, которая славится своими кофейными традициями. Контроль обжарки осуществляет мастер, хранитель традиций. Это кропотливый процесс, требующий высочайшего профессионализма. Весь процесс обжарки BUSHIDO производится вручную. Секрет неповторимого вкуса кофе - это исключительная комбинация фаз обжарки. </p>
<br>
Особенности Продукта:
<br>
<li>
Натуральный продукт
<li>
Непревзойденный вкус
<li>
Средняя степень обжарки";"BUSHIDO";284;355;"/storage/photo/original/g/bushido-kofe-rastvorimij-blak-katana-sublimirovannij-50-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170285;"EAGLE PREMIUM кофе растворимый 3 в 1 50 х 18 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:EAGLE PREMIUM;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:8887290902021;
(Характеристики товара (Продукты))Количество:50 шт;
(Характеристики товара (Продукты))Код товара:CB-00025471";"Чрезвычайно популярный растворимый кофейный напиток EAGLE PREMIUM 3-в-1 в упаковке с изображением орла полюбился многим за его неизменное и непревзойденное качество.
В блоке 50 пакетиков по 18г. Каждый пакетик содержит натуральный растворимый кофе, растворимые сухие сливки и сахар. </p>
<br>
Особенности Продукта:
<br>
<li>
Изысканный вкус
<li>
Непревзойденный аромат
<li>
Компактная упаковка";"EAGLE PREMIUM";217;271;"/storage/photo/original/g/eagle-premium-kofe-rastvorimij-3-v-1-50-h-18-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170286;"BUSHIDO кофе растворимый Red katana Сублимированный 50 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:Швейцария;
(Характеристики товара (Продукты))EAN:7610121710332;
(Характеристики товара (Продукты))Вес:50 г;
(Характеристики товара (Продукты))Код товара:00000003455";"Кофе BUSHIDO Red katana изготовлен из 100% Арабики, с мягким, насыщенным богатым вкусом с ореховым привкусом и великолепным ароматом. Произведенный классическим способом - обжаренный на дровах на медленном огне, как это издревле делали кофейные мастера. Жаровня расположена в Италии, в экологически чистой холмистой аграрной части страны, которая славится своими кофейными традициями. Контроль обжарки осуществляет мастер, хранитель традиций. Это кропотливый процесс, требующий высочайшего профессионализма. Весь процесс обжарки BUSHIDO производится вручную. Секрет неповторимого вкуса кофе - это исключительная комбинация фаз обжарки. </p>
<br>
Особенности Продукта:
<br>
<li>
Натуральный продукт
<li>
Непревзойденный вкус
<li>
Средняя степень обжарки";"BUSHIDO";276;345;"/storage/photo/original/g/bushido-kofe-rastvorimij-red-katana-sublimirovannij-50-g.png";1
"Продукты/Кофе, чай, какао, цикорий/Кофе";"Продукты/Кофе, чай, какао, цикорий/Кофе";170287;"BUSHIDO кофе растворимый Original 75 г";"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Бренд:BUSHIDO;
(Характеристики товара (Продукты))Страна происхождения:Швейцария;
(Характеристики товара (Продукты))EAN:5060367340251;
(Характеристики товара (Продукты))Вес:75 г;
(Характеристики товара (Продукты))Код товара:CB-00031599";"Кофе Bushido Original растворимый сублимированный 75 г. Изготовлен из собранной вручную южноамериканской Арабики, обладает оригинальным вкусом, тонким ароматом и долгим послевкусием.</p>";"BUSHIDO";322;402;"/storage/photo/original/g/bushido-kofe-rastvorimij-original-75-g.jpg";1
