Категории;Основная категория;Артикул;Цена_Розничная;Характеристики;Описание товара;Короткое название;Бренд;Фотографии;Цена_Зачеркнутая
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740039;43;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:ЧАЙКА;
(Характеристики товара)Серия:Детский;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:Беларусь;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4814628003031;
(Характеристики товара)Вес:400 г";"<!-- Стиральный порошок детский ЧАЙКА -->
<br>
<p>
Стиральный порошок, для белого белья, легко очистит загрязнения, характерные для детских вещей. С пониженным пенообразованием, легко выполаскивается из ткани, не оставляя никаких следов. Без красителей, мыла и оптических отбеливателей, с ненавязчивым ароматом, не вызывает аллергию. Подходит и для ручной стирки и для стирки в машине любого типа.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей";ЧАЙКА стиральный порошок Детский автомат 400 г;ЧАЙКА;/storage/photo/original/b/chajka-stiralnij-poroshok-detskij-avtomat-400-g.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740040;43;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:SUNDAY;
(Характеристики товара)Серия:Для детского белья;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:Беларусь;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4814628005554;
(Характеристики товара)Вес:400 г";"<!-- Стиральный порошок Для детского белья SUNDAY -->
<br>
<p>
Стиральный порошок, для белого белья, легко очистит загрязнения, характерные для детских вещей. С пониженным пенообразованием, легко выполаскивается из ткани, не оставляя никаких следов. Без красителей, мыла и оптических отбеливателей, с ненавязчивым ароматом, не вызывает аллергию. Подходит и для ручной стирки и для стирки в машине любого типа.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей";SUNDAY стиральный порошок Для детского белья автомат 400 г;SUNDAY;/storage/photo/original/b/sunday-stiralnij-poroshok-dlya-detskogo-belya-avtomat-400-g.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740041;437;"(Характеристики товара)Тип товара:Кондиционер для белья;
(Характеристики товара)Бренд:CJ LION;
(Характеристики товара)Серия:Soft beans;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Страна происхождения:КОРЕЯ, РЕСПУБЛИКА;
(Характеристики товара)Фасовка:1,8 - 2 л;
(Характеристики товара)EAN:8806325619451;
(Характеристики товара)Объем:2 л";Невероятно нежный кондиционер с натуральным экстрактом гороха. Имеет нейтральный PH, Придает белью мягкость и нежный аромат. 0% катионных ПАВов. Не содержит парабенов, фосфатов. минеральных масел (продуктов нефтепереработки), финоксиэтанола.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:;CJ LION кондиционер для белья Soft Beans на основе экстракта зеленого гороха 2 л;CJ LION;/storage/photo/original/b/cj-lion-kondicioner-dlya-belya-soft-beans-na-osnove-ekstrakta-zelenogo-goroha-2-l.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740042;447;"(Характеристики товара)Тип товара:Гель для стирки;
(Характеристики товара)Бренд:LOSK;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:9000101405699;
(Характеристики товара)Объем:1.17 л";"Гель Losk Детский- специально разработан для стирки детского белья.
Бережная формула дерматологически протестировна. Состав: 5-15 % анионных ПАВ, неионогенных ПАВ; < 5 % мыла, фосфонатов, оптического отбеливателя, энзимов, консерванта, красителя, отдушки (в т.ч. гераниола). </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Содержит натуральные компоненты</li><li>Без красителей</li><li>Нейтральный аромат</li><li>Гипоаллергенный</li>";LOSK Гель для стирки Детского белья 1,17 л;LOSK;/storage/photo/original/b/losk-gel-dlya-stirki-detskogo-belya-117-l.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740043;52;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:УШАСТЫЙ НЯНЬ;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4600697010113;
(Характеристики товара)Вес:400 г";"<!-- Детский стиральный порошок УШАСТЫЙ НЯНЬ -->
<br>
<p>
Стиральный порошок, для детского белья, легко очистит загрязнения, характерные для детских вещей. С пониженным пенообразованием, легко выполаскивается из ткани, не оставляя никаких следов. Без красителей, с ненавязчивым ароматом, не вызывает аллергию. Подходит и для ручной стирки и для стирки в машине любого типа.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей
<br>
Состав:  сульфаты (>30), фосфаты (5-15%), кислородосодержащие отбеливающие вещества (5-15%), анионные ПАВ (5-15%), карбонаты (5-15%), силикаты (5-15%), неионогенные ПАВ (<5%), пеногаситель (<5%), фосфонаты (<5%), энзимы, оптические отбеливатели, отдушка.";УШАСТЫЙ НЯНЬ стиральный порошок детский 400 г;УШАСТЫЙ НЯНЬ;/storage/photo/original/b/ushastij-nyan-stiralnij-poroshok-detskij-400-g.jpg;56
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740044;55;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:DOSIA;
(Характеристики товара)Серия:Досенька;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4607109405826;
(Характеристики товара)Вес:400 г";"<!-- Стиральный порошок Досенька для детского белья 400 г -->
<br>
<p>
Стиральный порошок, для белого и светлого белья, легко очистит загрязнения, характерные для детских вещей. С пониженным пенообразованием, легко выполаскивается из ткани, не оставляя никаких следов. Без красителей, с ненавязчивым ароматом, не вызывает аллергию. Подходит и для ручной стирки и для стирки в машине любого типа.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей
<br>
Состав: менее 5% анионные ПАВ, неионногенные ПАВ, поликарбоксилаты, 5% или более, но не менее 15% кислородосодержащий отбеливатель, цеолиты. Дополнительно: антивспениватель, энзимы, оптический отбеливатель, отдушка.";DOSIA стиральный порошок Досенька для детского белья 400 г;DOSIA;/storage/photo/original/b/dosia-stiralnij-poroshok-dosenka-dlya-detskogo-belya-400-g.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740045;55;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:TIDE;
(Характеристики товара)Серия:Детский;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4015600799830;
(Характеристики товара)Вес:400 г";"<!-- Товар: TIDE стиральный порошок для чувствительной и детской кожи 400 г -->
<br>
<p>
Стиральный порошок TIDE Детский, для детских вещей и для людей с повышенной чувствительностью кожи, для стирки в стиральных машинах любого типа или ручной стирке. Без красителей, с ненавязчивым ароматом, не вызывает аллергию.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей
<br>
Состав:5-15% анионные ПАВ, менее 5% неионогенные ПАВ, отбеливающие вещества на основе кислорода; фосфонаты, поликарбоксилаты, цеолиты; энзимы, оптические отбеливатели, ароматизирующие добавки.";TIDE стиральный порошок Детский автомат 400 г;TIDE;/storage/photo/original/b/tide-stiralnij-poroshok-detskij-avtomat-400-g.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740046;559;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:TIDE;
(Характеристики товара)Серия:Детский;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:3,5 - 6 кг;
(Характеристики товара)EAN:4015600800420;
(Характеристики товара)Вес:6 кг";"<!-- Стиральный порошок TIDE Детский автомат 6 кг -->
<br>
<p>
Стиральный порошок для детских вещей и белья, для стирки в стиральных машинах любого типа или ручной стирке. Без красителей, с ненавязчивым ароматом, не вызывает аллергию.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей
<br>
Состав: 5-15% анионные ПАВ, менее 5% неионогенные ПАВ, отбеливающие вещества на основе кислорода; фосфонаты, поликарбоксилаты, цеолиты; энзимы, оптические отбеливатели, ароматизирующие добавки.";TIDE стиральный порошок Детский автомат 6 кг;TIDE;/storage/photo/original/b/tide-stiralnij-poroshok-detskij-avtomat-6-kg.jpg;788
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740047;76;"(Характеристики товара)Тип товара:Ополаскиватели;
(Характеристики товара)Бренд:LENOR;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:8001090836410;
(Характеристики товара)Объем:1 л";"<p>
Кондиционер ополаскиватель для детского белья. Делает постиранные вещи мягкими, и препятствует накоплению статики. Легко выполаскивается из ткани, не оставляя никаких следов. С ненавязчивым ароматом, не вызывает аллергию.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Густой концентрат, хватит надолго.
<li>Гипоаллергенен
<li>Смягчает ткань
<li>Одежда не электризуется
<li>Для детских вещей
<br>
Состав:  5-15% катионные ПАВ; <5% неионогенные ПАВ; консерванты, ароматизирующие добавки.";LENOR концентрированный кондиционер для белья Детский 1 л;LENOR;/storage/photo/original/b/lenor-koncentrirovannij-kondicioner-dlya-belya-detskij-1-l.jpg;100
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740048;77;"(Характеристики товара)Тип товара:Ополаскиватели;
(Характеристики товара)Бренд:LENOR;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5413149280625;
(Характеристики товара)Объем:500 мл";"Кондиционер ополаскиватель рекомендуется для ухода за детским бельем. Разработан с учетом всех особенностей чувствительной и детской кожи. Дерматологически протестирован. Безопасен, не вызывает аллергии. Подходит для всех типов стиральных машин и ручной стирки. Придает белью мягкость, что значительно облегчает процесс глажки, экономя ваше время. Сохраняет форму одежды, насыщенность цвета и защищает от износа при многократных стирках. Хорошо выполаскивается, оставляя неповторимую свежеть и превосходный аромат надолго. Концентрированная форма позволяет экономично расходовать средство.
</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Применяется в комплексе со стиральным порошком.</li><li> Рекомендуется для детского белья..</li><li>Дольше сохраняет белье свежим.</li><li>Придает мягкость.</li><li>Облегчает процесс глажки.</li><li>Содержит антистатические элементы.</li><li>Удобное дозирование.</li><li>Экономичен.</li>";LENOR Концентрированный кондиционер для белья Детский 500 мл;LENOR;/storage/photo/original/b/lenor-koncentrirovannij-kondicioner-dlya-belya-detskij-500-ml.jpg;98
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740049;83;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:Я РОДИЛСЯ;
(Характеристики товара)Серия:Для белого;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Тип белья:Белое;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Тип стирки:Автомат;
(Характеристики товара)Фасовка:0,3 - 1 кг;
(Характеристики товара)EAN:4604049093267;
(Характеристики товара)Вес:400 г";"<!-- Стиральный порошок детский Я РОДИЛСЯ для белого белья автомат 400 г -->
<br>
<p>
Стиральный порошок, для белого белья, легко очистит загрязнения, характерные для детских вещей. С пониженным пенообразованием, легко выполаскивается из ткани, не оставляя никаких следов. Без красителей, с ненавязчивым ароматом, не вызывает аллергию. Подходит и для ручной стирки и для стирки в машине любого типа.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Однородный
<li>Без красителей
<li>Для детских вещей
<br>
Состав: 5-15%: анионные ПАВ, цеолиты, менее 5% неионогенные ПАВ, отбеливающие средства на основе кислорода, поликарбоксилаты, энзимы, фосфонаты, оптический отбеливатель, ароматизирующая добавка.";Я РОДИЛСЯ стиральный порошок детский для белого белья автомат 400 г;Я РОДИЛСЯ;/storage/photo/original/b/ya-rodilsya-stiralnij-poroshok-detskij-dlya-belogo-belya-avtomat-400-g.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740050;94;"(Характеристики товара)Тип товара:Ополаскиватели;
(Характеристики товара)Бренд:Я РОДИЛСЯ;
(Характеристики товара)Для кого:Для детей;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4604049093359;
(Характеристики товара)Объем:1 л";"<!-- Я РОДИЛСЯ Кондиционер для белья с Лавандой 1 л -->
<br>
<p>
Кондиционер ополаскиватель для детского белья, а также для людей с чувствительной кожей. Делает постиранные вещи мягкими, и препятствует накоплению статики, помогает разгладить белье после стирки. Легко выполаскивается из ткани, не оставляя никаких следов. Аромат лаванды, оказывает успокаивающее действие, не вызывает аллергию.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Аромат лаванды
<li>Гипоаллергенен
<li>Смягчает ткань
<li>Облегчает глажку
<li>Одежда не электризуется
<li>Для детских вещей
<br>
Состав: 5-15% катионные ПАВ, концентрат, ароматизатор.";Я РОДИЛСЯ Кондиционер для белья с Лавандой 1 л;Я РОДИЛСЯ;/storage/photo/original/b/ya-rodilsya-kondicioner-dlya-belya-s-lavandoj-1-l.jpg;157
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740051;389;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:Я РОДИЛСЯ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4604049093274;
(Характеристики товара)Вес:2.4 кг";Детский стиральный порошок для белого белья полностью отвечает принципам безопасности, экономичности и эффективности. В нем не содержатся искусственные красители, консерванты, фосфаты, агрессивные отдушки. Продукт гипоаллергенен и не вызывает раздражения на коже.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Для стирки белого и светлого детского белья</li><li>Подходит для стирки белья новорожденных</li><li>Легко отстирывает пятна</li><li>Не раздражает кожу и не вызывает аллергии</li><li>Не содержит фосфатов</li>;Я РОДИЛСЯ Стиральный порошок Детский для Белого белья 2,4 кг;Я РОДИЛСЯ;/storage/photo/original/b/ya-rodilsya-stiralnij-poroshok-detskij-dlya-belogo-belya-24-kg.jpg;
Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;Детские товары/Стирка и мытье детских вещей/Стиральные средства и кондиционеры для белья;740052;389;"(Характеристики товара)Тип товара:Стиральные порошки;
(Характеристики товара)Бренд:Я РОДИЛСЯ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4604049094707;
(Характеристики товара)Вес:2.4 кг";"Средство для стирки универсальное с пониженным пенообразованием с биодобавками для замачивания и стирки белья для всей семьи.
Подходит для цветных хлопчатобумажных, льняных, синтетических тканей, а такжетканей из смешанных волокон в стиральных машинах любого типа и ручной стирки.
Средство не предназначено для стирки изделий из шерсти и натурального шелка</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";Я РОДИЛСЯ Стиральный порошок Для семьи Color 2,4 кг;Я РОДИЛСЯ;/storage/photo/original/b/ya-rodilsya-stiralnij-poroshok-dlya-semi-color-24-kg.jpg;
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780100;143;"(Характеристики товара)Тип товара:Бутылочка с соской;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:КИТАЙ;
(Характеристики товара)EAN:4607101209262;
(Характеристики товара)Количество:1 шт";"Бутылочка для кормления Lubby ""Я люблю"" для кормления имеет молочную соску из силикона (размер M, средний поток) и предназначена для кормления вашего малыша с рождения. Соска, изготовленная из силикона, обладает высокой эластичностью, прозрачностью и прочностью.
Бутылочка плотно закрывается колпачком, который позволит избежать протекания, и сохранит соску чистой. На бутылочке выгравирована выпуклая нестираемая шкала.
Не содержит бисфенол А.";LUBBY бутылочка с соской Я Люблю с рождения 125 мл;LUBBY;/storage/photo/original/b/lubby-butilochka-s-soskoj-ya-lyublyu-s-rozhdeniya-125-ml.jpg;151
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780101;282;"(Характеристики товара)Тип товара:Поильник;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:КИТАЙ;
(Характеристики товара)EAN:4607101200184;
(Характеристики товара)Количество:1 шт";"Поильник-непроливайка Lubby ""Twist"" с трубочкой предназначен для комфортного и безопасного перевода ребенка на кормление без использования соски. Поильник оснащен специальной сдвигаемой крышечкой Twist, которая обеспечивает защиту от микробов. Крышка поильника является съемной. Клипса позволяет прикрепить поильник к коляске малыша, на ремень сумки, либо на пояс мамы. Перед первым использованием необходимо прокипятить изделие в течение 5 минут. В дальнейшем перед каждым использованием изделие необходимо мыть теплой водой с мылом, тщательно ополаскивать.<br>
Можно мыть в посудомоечной машине.<br>
Не содержит бисфенол А.";LUBBY поильник Twist 320 мл;LUBBY;/storage/photo/original/b/lubby-poilnik-twist-320-ml.jpg;325
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780102;294;"(Характеристики товара)Тип товара:Соска для бутылочки;
(Характеристики товара)Бренд:PIGEON;
(Характеристики товара)Страна происхождения:Таиланд;
(Характеристики товара)EAN:4902508018265;
(Характеристики товара)Количество:2 шт";"<p>
Соска запасная к бутылочке для кормления PIGEON разработана специально для младенцев старше от 1 до 3 месяцев, находящихся на грудном вскармливании. Создана в поддержку грудного вскармливания. Не вызывает путаницы сосков. Уникальная конструкция соски позволяет воспроизводить естественные механизмы сосания груди матери. Матовая текстурированная поверхность способствует надежному захвату соски. Запатентованная вентиляционная система обеспечивает равномерное поступление молока во время кормления. Прошла клинические исследования, изготовлена из очень мягкого, эластичного и плотного силикона, уникальная конструкции соски позволяет формировать естественный прикус. </p>
<br>
Особенности Продукта:
<br>
<li>
Соска для бутылочек PIGEON с широким горлом
<li>
Двойной мягкий силикон
<li>
Вертикальная линия делает соску устойчивой к слипанию
<li>
Средняя скорость поступления жидкости
<li>
Особая форма для стимуляции сосательной деятельности
<li>
Вентиляционное антиколиковое отверстие
<li>
Для детей старше 1 месяца
<br>
Состав:
Силикон.";PIGEON соска силиконовая Перистальтик Плюс  размер S (1+ мес) 2 шт;PIGEON;/storage/photo/original/b/pigeon-soska-silikonovaya-peristaltik-plyus-razmer-s-1-mes-2-sht.jpg;324
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780103;294;"(Характеристики товара)Тип товара:Соска для бутылочки;
(Характеристики товара)Бренд:PIGEON;
(Характеристики товара)Страна происхождения:Таиланд;
(Характеристики товара)EAN:4902508018289;
(Характеристики товара)Количество:2 шт";"<p>
Соска запасная к бутылочке для кормления PIGEON разработана специально для младенцев старше от 6 месяцев, находящихся на грудном вскармливании. Создана в поддержку грудного вскармливания. Не вызывает путаницы сосков. Уникальная конструкция соски позволяет воспроизводить естественные механизмы сосания груди матери. Матовая текстурированная поверхность способствует надежному захвату соски. Запатентованная вентиляционная система обеспечивает равномерное поступление молока во время кормления. Прошла клинические исследования, изготовлена из очень мягкого, эластичного и плотного силикона, уникальная конструкции соски позволяет формировать естественный прикус. </p>
<br>
Особенности Продукта:
<br>
<li>
Соска для бутылочек PIGEON с широким горлом
<li>
Двойной мягкий силикон
<li>
Вертикальная линия делает соску устойчивой к слипанию
<li>
Средняя скорость поступления жидкости
<li>
Особая форма для стимуляции сосательной деятельности
<li>
Вентиляционное антиколиковое отверстие
<li>
Для детей старше 6 месяцев
<br>
Состав:
Силикон.";PIGEON соска силиконовая Перистальтик Плюс размер L (6+ мес) 2 шт;PIGEON;/storage/photo/original/b/pigeon-soska-silikonovaya-peristaltik-plyus-razmer-l-6-mes-2-sht.jpg;324
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780104;306;"(Характеристики товара)Тип товара:Бутылочка с соской;
(Характеристики товара)Бренд:AVENT;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:8710103662402;
(Характеристики товара)Количество:1 шт";"С бутылочкой Philips Avent ""Standard"" кормление вашего малыша станет значительно проще. Мягкий материал и ребра жесткости соски помогают малышу легко захватить соску, обеспечивая спокойное и комфортное кормление. Антиколиковый клапан пропускает воздух в бутылочку, а не в животик малыша. Бутылочка не протекает во время кормления, а уплотнительный колпачок закрывает соску, обеспечивая надежное хранение и защиту от протекания во время путешествий. Благодаря эргономичной форме бутылочку удобно держать как маме, так и малышу. Для удобства, бутылочка оснащена мерной шкалой.<br>
Не содержит бисфенол А.";AVENT бутылочка с соской Standart SCF971/17 с 3 месяцев 240 мл;AVENT;/storage/photo/original/b/avent-butilochka-s-soskoj-standart-scf97117-s-3-mesyacev-240-ml.jpg;333
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780105;332;"(Характеристики товара)Тип товара:Ершик;
(Характеристики товара)Бренд:NUK;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:4008600142850;
(Характеристики товара)Количество:1 шт";"Благодаря специальной форме щетки и жесткой щетине тщательно чистит соски и бутылочки.<br>
Ершик для сосок находится в рукоятке большого ершика для бутылочек.<br>
Отверстие в рукоятке позволяет ершику для сосок быстро высохнуть.<br>
Специальный крючок - удобно вешать.";NUK ершик для бутылочек и сосок;NUK;/storage/photo/original/b/nuk-ershik-dlya-butilochek-i-sosok.jpg;374
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780106;334;"(Характеристики товара)Тип товара:Бутылочка с соской;
(Характеристики товара)Бренд:AVENT;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:8710103662419;
(Характеристики товара)Количество:1 шт";"С бутылочкой Philips Avent ""Essential"" кормление вашего малыша станет значительно проще. Мягкий материал и ребра жесткости соски помогают малышу легко захватить соску, обеспечивая спокойное и комфортное кормление. Антиколиковый клапан пропускает воздух в бутылочку, а не в животик малыша. Бутылочка не протекает во время кормления, а уплотнительный колпачок закрывает соску, обеспечивая надежное хранение и защиту от протекания во время путешествий. Благодаря эргономичной форме бутылочку удобно держать как маме, так и малышу. Для удобства, бутылочка оснащена мерной шкалой.
Не содержит бисфенол А.";AVENT бутылочка с соской Standart SCF972/17 с 6 месяцев 280 мл;AVENT;/storage/photo/original/b/avent-butilochka-s-soskoj-standart-scf97217-s-6-mesyacev-280-ml.jpg;360
Детские товары/Товары для кормления/Бутылочки и поильники;Детские товары/Товары для кормления/Бутылочки и поильники;780107;346;"(Характеристики товара)Тип товара:Бутылочка с ложечкой;
(Характеристики товара)Бренд:PIGEON;
(Характеристики товара)Страна происхождения:Таиланд;
(Характеристики товара)EAN:4902508030120;
(Характеристики товара)Количество:1 шт";"<p>
Бутылочка с ложечкой PIGEON –это легкое и простое решение для введения первого прикорма! Идеально для кашек, жидких пюре и другого питания. Является комбинацией бутылочки и ложки. Благодаря мягкой бутылочке и специальному желобку в ложечке, питание поступает в ложечку. Нет необходимости много раз подносить ложку ко рту. Ложечка прикручивается к бутылочке с помощью соединительного кольца, оно же служит крышкой для бутылочки. Помогает малышу быстро привыкнуть кушать из ложки. Изготовлена из безопасного материала, не содержит Бисфенол А. </p>
<br>
Особенности Продукта:
<br>
<li>
Для введения первого прикорма
<li>
Удобна в использовании
<li>
Изготовлена из безопасных и мягких материалов
<li>
Для детей старше 3 месяцев
<br>
Состав:
Полипропилен.";PIGEON бутылочка с ложечкой для кормления (3+ мес) 120 мл;PIGEON;/storage/photo/original/b/pigeon-butilochka-s-lozhechkoj-dlya-kormleniya-3-mes-120-ml.jpg;412
